,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Quiz8,Quiz AVG.,Exam1,Exam2
0310031,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
0411201,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.71,#N/A,#N/A
0511330,60,95,75,88,100,100,100,49,88.29,59,62
0512209,90,95,100,93,100,90,90,100,95.43,76,113
0515337,50,55,100,53,100,70,76,81,76.43,88,77
0516255,30,40,15,#N/A,5,#N/A,#N/A,#N/A,12.86,17,#N/A
0611069,20,85,98,80,55,85,54,19,68.14,73,57
0611076,60,85,100,88,95,55,72,95,85,83,67
0611532,90,75,90,88,95,95,96,90,92,83,73
0613219,50,85,95,68,50,85,64,61,72.57,56,45
0613335,100,85,100,68,100,100,95,95,96.43,84,100
0613338,70,60,60,73,60,85,46,78,69.43,79,70
0613358,100,80,100,73,100,100,85,81,92.29,99,72
0616113,25,40,40,#N/A,65,60,52,#N/A,40.29,27,#N/A
0616248,100,80,65,78,90,95,95,78,88,68,85
0616333,40,70,52,28,80,45,81,81,64.14,39,25
0711239,90,90,95,88,100,80,100,90,93.29,84,110
0712252,L,90,100,88,100,85,80,74,88.14,97,100
0712254,80,85,85,48,100,100,95,100,92.14,81,100
0712511,50,95,100,53,95,65,77,64,78.43,84,58
0713145,40,76,70,48,95,90,80,40,71.29,71,47
0713209,55,80,98,75,85,85,54,65,77.57,72,67
0713216,100,100,100,70,100,95,96,85,96.57,78,70
0713223,100,90,90,88,90,80,87,66,89.29,86,73
0713228,95,65,95,40,75,55,100,67,78.86,90,45
0713239,60,95,95,58,90,90,73,71,82,87,42
0713250,70,85,100,60,90,100,42,80,83.57,84,37
0713339,50,95,95,56,100,95,85,64,84.29,76,89
0713415,100,90,100,87,90,100,95,76,94.57,91,110
0716089,80,87,80,78,#N/A,65,92,70,78.86,92,92
0716120,30,90,70,L,75,100,95,80,77.14,17,60
0716121,30,70,75,80,75,95,92,63,78.57,70,63
0716250,L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
0716251,40,80,80,53,70,70,91,73,73.86,71,50
0716307,70,95,100,78,100,100,100,47,91.86,87,55
0716338,80,75,85,75,80,65,82,46,77.43,90,52
0717001,45,85,85,40,100,95,100,76,83.71,81,62
0717007,80,95,100,60,100,80,100,81,90.86,86,55
0717034,90,85,95,48,100,65,53,64,78.86,64,60
0717035,80,95,100,80,100,85,90,70,90,88,72
0717054,50,85,100,40,60,75,55,95,74.29,57,59
0717066,80,90,95,56,90,95,95,93,91.14,58,85
0719043,80,95,90,73,80,45,85,51,79.14,83,65
0719814,80,80,100,83,90,90,95,95,90.43,76,100
0810792,80,100,100,85,100,70,80,88,90.43,93,92
0811521,80,95,85,84,90,90,100,90,90.57,100,105
0816001,80,80,95,78,100,90,100,76,89,88,87
0816005,60,80,45,65,75,50,#N/A,37,58.86,36,37
0816009,80,85,100,58,100,95,100,81,91.57,79,65
0816017,50,60,70,63,55,30,56,66,60,68,43
0816021,50,50,75,80,100,80,77,75,76.71,75,52
0816025,50,40,#N/A,28,#N/A,#N/A,#N/A,#N/A,16.86,48,#N/A
0816032,80,90,100,83,95,95,91,95,92.71,97,90
0816033,75,90,L,60,100,80,53,81,77,69,78
0816034,70,90,100,90,100,100,100,100,97.14,79,100
0816035,95,95,100,93,100,100,95,88,96.86,79,87
0816041,#N/A,95,#N/A,30,90,80,#N/A,63,51.14,61,52
0816045,70,86,95,56,95,85,100,85,88,82,85
0816049,60,95,100,66,100,65,85,91,86,96,75
0816053,70,95,100,68,100,100,93,95,93.29,63,65
0816057,80,95,90,50,100,55,#N/A,90,80,71,55
0816061,60,80,100,78,100,100,86,90,90.57,97,82
0816065,80,55,80,30,90,55,41,95,70.86,64,50
0816069,60,80,100,50,95,100,95,95,89.29,70,75
0816077,#N/A,#N/A,70,40,#N/A,60,44,63,39.57,59,55
0816081,50,60,100,38,95,55,90,75,75,39,57
0816085,70,70,75,58,80,90,100,66,78.71,40,77
0816089,40,75,45,58,100,90,95,97,80,47,95
0816093,100,55,95,66,100,90,100,91,91.71,89,52
0816097,60,90,100,73,95,90,90,95,90.43,80,77
0816101,60,95,100,78,100,100,100,81,93.43,102,73
0816105,95,80,80,69,90,85,90,67,84.14,74,80
0816109,30,70,100,63,50,85,#N/A,69,66.71,79,48
0816113,60,70,100,48,95,90,92,75,83.14,95,77
0816117,80,95,100,83,100,100,95,95,95.43,105,105
0816121,50,70,95,58,80,75,97,82,79.57,68,77
0816125,50,85,98,33,95,100,86,96,87.14,78,37
0816129,70,90,95,63,100,95,92,76,88.29,82,105
0816137,60,75,80,76,90,90,95,73,82.71,76,82
0816145,30,#N/A,100,#N/A,#N/A,55,31,96,44.57,65,80
0816149,70,90,70,85,70,65,61,45,73,74,55
0816153,65,85,60,88,90,95,85,100,86.86,69,85
0816157,L,#N/A,#N/A,20,#N/A,#N/A,#N/A,#N/A,2.86,30,#N/A
0816169,80,70,95,41,75,95,100,67,83.14,76,86
0816170,100,95,100,58,100,95,95,95,97.14,89,90
0816171,80,100,95,84,100,100,95,100,96.29,105,92
0816173,70,95,95,78,100,95,92,85,91.43,91,95
0816177,75,95,100,95,100,95,100,95,97.14,90,100
0816181,50,65,70,68,60,95,69,58,69.29,43,47
0816185,70,85,100,56,85,70,81,81,81.71,81,42
0816189,20,45,95,20,#N/A,#N/A,#N/A,#N/A,25.71,38,#N/A
0816191,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
0816196,30,85,95,#N/A,#N/A,#N/A,#N/A,#N/A,30,47,#N/A
0816199,100,95,95,88,90,95,95,95,95,71,90
0816203,100,90,90,80,100,70,80,91,90.14,90,100
0819802,80,85,#N/A,70,90,100,100,71,85.14,83,90
0845208,60,85,95,100,75,60,80,95,84.29,100,95
